gesl,bin,variable,N
Marie,38,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",10
Otto,42,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",35
Otto,43,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",5
Marie,39,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",4
Marie,41,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",3
Otto,1,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",45
Otto,46,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1
Otto,44,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1
Marie,40,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1
Marie,14,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",15658
Marie,25,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3863
Marie,16,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",14787
Marie,11,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",13562
Marie,21,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",7520
Marie,13,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",15263
Marie,12,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",14434
Marie,8,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9993
Marie,7,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9108
Marie,19,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",10778
Marie,9,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",11324
Marie,23,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",5208
Marie,18,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",12561
Marie,6,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",8004
Marie,22,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",6208
Marie,15,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",15714
Marie,20,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9156
Marie,10,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",12205
Marie,5,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",5678
Marie,30,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1359
Marie,26,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3275
Marie,17,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",13791
Marie,4,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2876
Marie,24,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",4385
Marie,31,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1029
Otto,29,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",6891
Marie,32,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",741
Marie,29,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1757
Marie,3,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",789
Marie,27,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2714
Marie,35,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",137
Marie,28,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2182
Otto,24,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9728
Otto,33,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",5219
Otto,35,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3567
Otto,28,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",7140
Otto,34,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",4494
Otto,37,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1757
Otto,26,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",8423
Otto,25,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9034
Otto,22,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9853
Otto,16,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",4205
Otto,8,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2170
Otto,21,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9371
Otto,20,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",8534
Otto,14,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3548
Otto,31,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",6171
Otto,9,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2464
Otto,23,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",9862
Otto,5,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1191
Otto,18,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",6131
Otto,27,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",7740
Otto,12,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3104
Otto,32,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",6021
Otto,19,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",7172
Otto,36,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2723
Otto,17,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",5047
Otto,41,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",80
Otto,30,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",6485
Otto,11,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2956
Otto,15,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3617
Otto,10,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",2718
Otto,13,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3266
Otto,6,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1551
Otto,38,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1112
Otto,7,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1879
Otto,39,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",548
Otto,40,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",269
Marie,34,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",259
Marie,33,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",477
Otto,3,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",502
Otto,4,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",825
Marie,2,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",153
Marie,36,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",53
Marie,1,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",26
Otto,2,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",221
Marie,37,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",18
Marie,38,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",11
Otto,42,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",35
Otto,43,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",5
Marie,39,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",4
Marie,41,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",3
Otto,1,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",45
Otto,46,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1
Otto,44,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1
Marie,40,"Szenario 3 (Einführung Gender-Pay-Gap-Faktor)",1
Marie,17,"Szenario 4
(GPG/Frau)",17802
Marie,26,"Szenario 4
(GPG/Frau)",4037
Marie,19,"Szenario 4
(GPG/Frau)",16245
Marie,15,"Szenario 4
(GPG/Frau)",16064
Marie,23,"Szenario 4
(GPG/Frau)",7728
Marie,16,"Szenario 4
(GPG/Frau)",17641
Marie,10,"Szenario 4
(GPG/Frau)",8097
Marie,18,"Szenario 4
(GPG/Frau)",17116
Marie,12,"Szenario 4
(GPG/Frau)",10258
Marie,7,"Szenario 4
(GPG/Frau)",5581
Marie,13,"Szenario 4
(GPG/Frau)",12191
Marie,21,"Szenario 4
(GPG/Frau)",12717
Marie,24,"Szenario 4
(GPG/Frau)",6071
Marie,20,"Szenario 4
(GPG/Frau)",15081
Marie,22,"Szenario 4
(GPG/Frau)",9964
Marie,6,"Szenario 4
(GPG/Frau)",3977
Marie,9,"Szenario 4
(GPG/Frau)",7134
Marie,14,"Szenario 4
(GPG/Frau)",14089
Marie,8,"Szenario 4
(GPG/Frau)",6592
Marie,30,"Szenario 4
(GPG/Frau)",1589
Marie,5,"Szenario 4
(GPG/Frau)",1648
Marie,11,"Szenario 4
(GPG/Frau)",9140
Marie,4,"Szenario 4
(GPG/Frau)",160
Marie,32,"Szenario 4
(GPG/Frau)",898
Otto,29,"Szenario 4
(GPG/Frau)",6891
Marie,25,"Szenario 4
(GPG/Frau)",4990
Marie,31,"Szenario 4
(GPG/Frau)",1161
Marie,29,"Szenario 4
(GPG/Frau)",2064
Marie,27,"Szenario 4
(GPG/Frau)",3211
Marie,35,"Szenario 4
(GPG/Frau)",152
Marie,28,"Szenario 4
(GPG/Frau)",2638
Otto,24,"Szenario 4
(GPG/Frau)",9728
Otto,33,"Szenario 4
(GPG/Frau)",5219
Otto,35,"Szenario 4
(GPG/Frau)",3567
Otto,28,"Szenario 4
(GPG/Frau)",7140
Otto,34,"Szenario 4
(GPG/Frau)",4494
Otto,37,"Szenario 4
(GPG/Frau)",1757
Otto,26,"Szenario 4
(GPG/Frau)",8423
Otto,25,"Szenario 4
(GPG/Frau)",9034
